incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Severe Storm,Oregon,2019,July,Roads and Bridges,11,7974760
Severe Storm,Vermont,2011,June,Recreational or Other,6,7909171
Severe Storm,Nevada,2017,March,Protective Measures,6,7890291
Severe Storm,Ohio,2019,June,Debris Removal,10,7872653
Severe Storm,West Virginia,2017,August,Roads and Bridges,4,7817928
Severe Storm,Illinois,2023,August,Debris Removal,5,7803879
Severe Storm,California,2017,February,Public Utilities,10,7796599
Severe Storm,Michigan,2020,July,Emergency Protective Measures,6,7764341
Severe Storm,West Virginia,2012,March,Roads and Bridges,4,7762578
Severe Storm,Indiana,2014,April,Protective Measures,4,7753726
Severe Storm,Tennessee,2019,December,Utilities,12,7683596
Severe Storm,Massachusetts,2012,January,Protective Measures,3,7657799
Severe Storm,Virginia,2012,July,Public Utilities,3,7635683
Severe Storm,Minnesota,2022,July,Utilities,6,7615991
Severe Storm,Minnesota,2012,July,Public Utilities,3,7612346
Severe Storm,Missouri,2019,July,Utilities,11,7595800
Severe Storm,Texas,2015,November,Public Utilities,9,7570276
Severe Storm,Kentucky,2021,March,Management Costs,6,7552522
Severe Storm,South Carolina,2020,May,Utilities,8,7544644
Severe Storm,Arkansas,2013,September,Roads and Bridges,6,7541700
Severe Storm,South Dakota,2013,November,Protective Measures,6,7518743
Severe Storm,Florida,2012,July,Protective Measures,4,7490417
Severe Storm,Vermont,2019,June,Roads and Bridges,12,7458242
Severe Storm,West Virginia,2012,July,Protective Measures,2,7452618
Severe Storm,Utah,2021,January,Debris Removal,8,7419866
Severe Storm,Vermont,2011,July,Roads and Bridges,5,7408100
Severe Storm,Georgia,2017,January,Debris Removal,6,7403704
Severe Storm,Missouri,2019,July,Management Costs,14,7379985
Severe Storm,Minnesota,2013,May,Public Utilities,4,7360016
Severe Storm,New Jersey,2016,March,Recreational or Other,15,7303257
Severe Storm,Washington,2012,March,Protective Measures,3,7261974
Severe Storm,Illinois,2011,June,Protective Measures,3,7229401
Severe Storm,Mississippi,2011,April,Protective Measures,4,7209441
Severe Storm,West Virginia,2015,May,Roads and Bridges,4,7193921
Severe Storm,Minnesota,2010,October,Roads and Bridges,4,7138341
Severe Storm,Tennessee,2020,July,Utilities,6,7111859
Severe Storm,Alabama,2021,April,Debris Removal,8,7074997
Severe Storm,Iowa,2010,July,Public Utilities,6,7056797
Severe Storm,Arkansas,2010,February,Roads and Bridges,6,7051685
Severe Storm,Missouri,2011,March,Protective Measures,2,7006380
Severe Storm,Arkansas,2020,July,Utilities,16,6992651
Severe Storm,Arkansas,2015,June,Roads and Bridges,5,6976625
Severe Storm,Washington,2020,April,Water Control Facilities,30,6967636
Severe Storm,Mississippi,2014,April,Public Utilities,4,6958230
Severe Storm,Alabama,2018,April,Direct Administrative Costs,5,6903655
Severe Storm,Nebraska,2022,July,"Parks, Recreational Facilities, and Other Items",9,6887529
Severe Storm,Massachusetts,2010,March,Roads and Bridges,5,6859286
Severe Storm,Pennsylvania,2013,October,Roads and Bridges,5,6840199
Severe Storm,New York,2010,April,Recreational or Other,6,6828619
Severe Storm,Alabama,2011,April,State Management,29,6818006
Severe Storm,Missouri,2019,July,Debris Removal,12,6733882
Severe Storm,Rhode Island,2013,March,Protective Measures,7,6728651
Severe Storm,Missouri,2020,July,Utilities,6,6691313
Severe Storm,Alabama,2018,April,Debris Removal,4,6669118
Severe Storm,Kentucky,2021,March,Emergency Protective Measures,5,6654374
Severe Storm,Pennsylvania,2011,July,Roads and Bridges,4,6646208
Severe Storm,West Virginia,2015,August,Roads and Bridges,4,6609755
Severe Storm,Nebraska,2014,July,Public Utilities,2,6598578
Severe Storm,North Dakota,2013,July,Roads and Bridges,3,6557181
Severe Storm,New Jersey,2010,April,Recreational or Other,4,6525361
Severe Storm,Louisiana,2021,June,Emergency Protective Measures,12,6502816
Severe Storm,Texas,2016,February,Public Utilities,5,6468260
Severe Storm,Minnesota,2011,July,Public Utilities,7,6465271
Severe Storm,Oklahoma,2019,August,Buildings and Equipment,22,6449580
Severe Storm,Kentucky,2015,August,Roads and Bridges,8,6444224
Severe Storm,New York,2011,February,Public Utilities,9,6440705
Severe Storm,Arkansas,2019,June,Emergency Protective Measures,7,6435231
Severe Storm,Maryland,2018,July,Roads and Bridges,11,6432279
Severe Storm,Kansas,2013,October,Roads and Bridges,4,6431638
Severe Storm,Mississippi,2020,April,Roads and Bridges,8,6425649
Severe Storm,Colorado,2023,August,Roads and Bridges,8,6409329
Severe Storm,Mississippi,2011,April,Public Utilities,4,6333563
Severe Storm,Iowa,2014,August,Roads and Bridges,7,6293333
Severe Storm,Rhode Island,2010,March,Roads and Bridges,5,6270191
Severe Storm,Florida,2014,May,Public Utilities,10,6262796
Severe Storm,Tennessee,2010,May,State Management,14,6213072
Severe Storm,South Dakota,2019,October,Water Control Facilities,8,6210742
Severe Storm,Tennessee,2022,January,Debris Removal,6,6202580
Severe Storm,Arkansas,2013,June,Roads and Bridges,4,6195906
Severe Storm,California,2023,January,Water Control Facilities,12,6192049
Severe Storm,Oregon,2016,February,Public Utilities,6,6185119
Severe Storm,California,2023,January,Management Costs,12,6166467
Severe Storm,Georgia,2011,April,Public Utilities,1,6118528
Severe Storm,New York,2010,April,Roads and Bridges,5,6095192
Severe Storm,Iowa,2010,July,Protective Measures,6,6084717
Severe Storm,Oklahoma,2023,July,Utilities,7,6028530
Severe Storm,District of Columbia,2010,March,Protective Measures,4,5960220
Severe Storm,South Dakota,2013,May,Debris Removal,1,5954124
Severe Storm,South Dakota,2019,November,Water Control Facilities,17,5931680
Severe Storm,Illinois,2019,September,Management Costs,12,5879398
Severe Storm,Minnesota,2012,July,Recreational or Other,5,5821945
Severe Storm,North Dakota,2011,May,Public Utilities,1,5804349
Severe Storm,Wisconsin,2016,August,Roads and Bridges,5,5800021
Severe Storm,New Hampshire,2013,March,Protective Measures,3,5784741
Severe Storm,Indiana,2011,June,Roads and Bridges,4,5779896
Severe Storm,Arkansas,2019,June,Management Costs,11,5772105
Severe Storm,Arkansas,2011,May,Public Utilities,5,5760617
Severe Storm,Texas,2015,May,Water Control Facilities,14,5756840
Severe Storm,Texas,2019,February,Emergency Protective Measures,8,5723546
Severe Storm,Washington,2011,March,Roads and Bridges,4,5710468
Severe Storm,Oregon,2019,May,Debris Removal,11,5706884
Severe Storm,California,2023,April,Management Costs,11,5688341
Severe Storm,Louisiana,2021,March,Utilities,13,5661741
Severe Storm,Minnesota,2013,July,Roads and Bridges,3,5646452
Severe Storm,Mississippi,2019,December,Debris Removal,6,5617694
Severe Storm,Iowa,2010,July,Public Buildings,7,5568309
Severe Storm,Ohio,2012,August,Debris Removal,3,5568093
Severe Storm,Tennessee,2021,August,"Parks, Recreational Facilities, and Other Items",15,5563998
Severe Storm,Mississippi,2020,July,Debris Removal,12,5513821
Severe Storm,Alabama,2020,July,Utilities,7,5510961
Severe Storm,Kansas,2022,February,Utilities,13,5492618
Severe Storm,Oklahoma,2010,February,Protective Measures,3,5445526
Severe Storm,Puerto Rico,2011,July,Roads and Bridges,4,5442174
Severe Storm,Rhode Island,2010,March,Protective Measures,4,5413378
Severe Storm,Mississippi,2011,April,Debris Removal,3,5380748
Severe Storm,Oklahoma,2019,June,Emergency Protective Measures,10,5378138
Severe Storm,Mississippi,2023,August,Utilities,7,5372012
Severe Storm,New Hampshire,2017,August,Roads and Bridges,16,5368940
Severe Storm,Florida,2012,July,State Management,52,5347671
Severe Storm,New Hampshire,2013,August,Roads and Bridges,5,5327796
Severe Storm,California,2017,February,State Management,17,5232441
Severe Storm,Illinois,2019,September,Water Control Facilities,12,5165179
Severe Storm,Missouri,2019,July,Water Control Facilities,14,5143811
Severe Storm,Tennessee,2023,April,Utilities,9,5140987
Severe Storm,Tennessee,2010,May,Recreational or Other,7,5119114
Severe Storm,Ohio,2012,August,Public Utilities,3,5115618
Severe Storm,Iowa,2010,July,Debris Removal,6,5106978
Severe Storm,California,2024,April,Management Costs,2,5092523
Severe Storm,Georgia,2017,January,Utilities,5,5087531
Severe Storm,Kentucky,2023,April,Debris Removal,7,5085722
Severe Storm,Kentucky,2012,March,Debris Removal,5,5085678
Severe Storm,Missouri,2015,August,Public Buildings,9,5081672
Severe Storm,Texas,2019,February,Management Costs,16,5056269
Severe Storm,Oklahoma,2024,April,Debris Removal,4,5044367
Severe Storm,South Dakota,2022,June,Utilities,6,5012798
Severe Storm,Texas,2015,May,Public Buildings,8,4993034
Severe Storm,Wisconsin,2016,August,Recreational or Other,8,4989089
Severe Storm,Louisiana,2021,March,Buildings and Equipment,15,4977602
Severe Storm,Tennessee,2023,September,Utilities,7,4973133
Severe Storm,Iowa,2010,March,Protective Measures,6,4964521
Severe Storm,Mississippi,2014,April,Protective Measures,10,4952636
Severe Storm,Kentucky,2011,May,Protective Measures,4,4940650
Severe Storm,California,2023,April,Utilities,9,4908497
Severe Storm,Alabama,2014,May,Public Utilities,2,4907146
Severe Storm,New York,2011,September,State Management,84,4894424
Severe Storm,Wisconsin,2012,August,Public Utilities,2,4890622
Severe Storm,Iowa,2018,August,Roads and Bridges,7,4879961
Severe Storm,Arizona,2021,September,Roads and Bridges,14,4844564
Severe Storm,California,2019,May,Debris Removal,8,4819064
Severe Storm,Missouri,2011,May,Recreational or Other,6,4798133
Severe Storm,Iowa,2020,August,Emergency Protective Measures,9,4796128
Severe Storm,Ohio,2012,August,Protective Measures,3,4753293
Severe Storm,Oklahoma,2011,June,Public Utilities,4,4747429
Severe Storm,California,2023,April,Debris Removal,10,4711258
Severe Storm,New Hampshire,2015,March,Protective Measures,5,4709080
Severe Storm,Missouri,2014,October,Roads and Bridges,4,4690316
Severe Storm,South Dakota,2013,November,Debris Removal,3,4683798
Severe Storm,Washington,2015,October,Public Utilities,5,4668421
Severe Storm,Arkansas,2014,April,Roads and Bridges,3,4667506
Severe Storm,Arkansas,2019,June,"Parks, Recreational Facilities, and Other Items",9,4662336
Severe Storm,North Carolina,2010,February,Public Utilities,6,4659835
Severe Storm,Alabama,2020,July,Debris Removal,9,4659662
Severe Storm,Nevada,2023,April,Roads and Bridges,10,4648458
Severe Storm,Nebraska,2014,July,Public Buildings,4,4640874
Severe Storm,Washington,2022,March,Utilities,12,4607099
Severe Storm,Montana,2022,June,Debris Removal,8,4583150
Severe Storm,Hawaii,2022,February,Roads and Bridges,17,4542786
Severe Storm,California,2023,April,Roads and Bridges,10,4523938
Severe Storm,Maine,2022,March,"Parks, Recreational Facilities, and Other Items",13,4523685
Severe Storm,Kansas,2022,February,Buildings and Equipment,8,4505960
Severe Storm,Nebraska,2019,March,Buildings and Equipment,14,4476935
Severe Storm,Arkansas,2019,June,Roads and Bridges,8,4470670
Severe Storm,Minnesota,2010,October,Public Buildings,5,4451478
Severe Storm,Georgia,2016,February,Recreational or Other,4,4441576
Severe Storm,Tennessee,2022,January,Utilities,7,4428133
Severe Storm,Minnesota,2022,August,Utilities,5,4403435
Severe Storm,Kansas,2010,August,Roads and Bridges,3,4395445
Severe Storm,Illinois,2019,September,Utilities,14,4358327
Severe Storm,Oklahoma,2017,May,Roads and Bridges,9,4350577
Severe Storm,Montana,2011,June,Water Control Facilities,7,4349281
Severe Storm,Alabama,2010,May,Debris Removal,2,4345315
Severe Storm,Iowa,2010,July,Water Control Facilities,11,4319619
Severe Storm,Minnesota,2022,July,Water Control Facilities,8,4295974
Severe Storm,Nebraska,2021,September,Debris Removal,6,4283210
Severe Storm,Iowa,2022,February,Utilities,10,4282071
Severe Storm,Mississippi,2019,February,Roads and Bridges,12,4281651
Severe Storm,Massachusetts,2015,April,Recreational or Other,21,4273003
Severe Storm,Vermont,2011,June,Roads and Bridges,3,4270997
Severe Storm,Tennessee,2011,July,Public Utilities,2,4260076
Severe Storm,Washington,2022,March,Roads and Bridges,18,4259415
Severe Storm,Vermont,2023,July,Debris Removal,9,4246661
Severe Storm,Oregon,2016,February,Recreational or Other,16,4209704
Severe Storm,Mississippi,2019,December,Utilities,5,4193879
Severe Storm,Arkansas,2011,May,Debris Removal,7,4185071
Severe Storm,Wisconsin,2013,August,Roads and Bridges,5,4152103
Severe Storm,Nevada,2017,February,Roads and Bridges,12,4150157
Severe Storm,Iowa,2019,March,Buildings and Equipment,16,4149213
Severe Storm,Tennessee,2019,December,Debris Removal,7,4133652
Severe Storm,Iowa,2015,July,Roads and Bridges,4,4124067
Severe Storm,Oklahoma,2019,June,Management Costs,16,4113812
Severe Storm,Minnesota,2010,October,Recreational or Other,5,4103315
Severe Storm,Iowa,2010,July,Recreational or Other,6,4090066
Severe Storm,Hawaii,2018,May,Roads and Bridges,13,4088730
Severe Storm,North Dakota,2013,October,Public Utilities,2,4087114
Severe Storm,Kansas,2011,July,Roads and Bridges,5,4085308
Severe Storm,Kentucky,2020,April,Water Control Facilities,10,4084835
Severe Storm,Minnesota,2013,July,Debris Removal,3,4083702
Severe Storm,Oklahoma,2023,July,Buildings and Equipment,8,4076240
Severe Storm,Missouri,2013,July,Debris Removal,7,4069908
Severe Storm,New Jersey,2011,November,Protective Measures,6,4053267
Severe Storm,New Jersey,2012,July,Debris Removal,2,4047998
Severe Storm,Washington,2016,January,Debris Removal,6,4040028
Severe Storm,Wisconsin,2019,August,Utilities,8,4038760
Severe Storm,Georgia,2021,May,Utilities,8,4034628
Severe Storm,Tennessee,2021,August,Buildings and Equipment,10,4031404
Severe Storm,Missouri,2011,May,Debris Removal,5,4022995
Severe Storm,Montana,2010,July,Recreational or Other,10,4019691
Severe Storm,Arkansas,2011,May,Protective Measures,6,4017053
Severe Storm,Massachusetts,2018,June,Emergency Protective Measures,10,4008381
Severe Storm,Michigan,2020,July,Roads and Bridges,10,3987389
Severe Storm,Alaska,2022,January,"Parks, Recreational Facilities, and Other Items",9,3984412
Severe Storm,Michigan,2020,July,"Parks, Recreational Facilities, and Other Items",8,3965614
Severe Storm,Tennessee,2020,April,Emergency Protective Measures,9,3953718
Severe Storm,Kentucky,2012,March,Public Utilities,5,3950061
Severe Storm,Iowa,2013,July,Protective Measures,5,3946265
Severe Storm,Massachusetts,2018,June,Debris Removal,11,3939213
Severe Storm,Oklahoma,2017,February,State Management,4,3932092
Severe Storm,New Hampshire,2018,January,Roads and Bridges,14,3901767
Severe Storm,California,2010,March,Protective Measures,4,3883079
Severe Storm,West Virginia,2022,November,Roads and Bridges,10,3878996
Severe Storm,New York,2019,December,Debris Removal,14,3858418
Severe Storm,Montana,2022,June,Management Costs,7,3856801
Severe Storm,Oregon,2014,April,Public Utilities,2,3847753
Severe Storm,Massachusetts,2012,January,Public Utilities,4,3847342
Severe Storm,New York,2019,December,Water Control Facilities,22,3838948
Severe Storm,Puerto Rico,2010,June,Roads and Bridges,4,3833545
Severe Storm,Louisiana,2019,June,Buildings and Equipment,9,3832930
Severe Storm,Oklahoma,2023,April,Debris Removal,9,3823764
Severe Storm,Illinois,2011,June,Roads and Bridges,3,3810684
Severe Storm,Connecticut,2010,April,Roads and Bridges,5,3808805
Severe Storm,Louisiana,2021,March,Management Costs,13,3770503
Severe Storm,Alaska,2022,September,Management Costs,17,3750742
Severe Storm,Vermont,2023,March,Utilities,10,3732754
Severe Storm,Maine,2018,January,Debris Removal,7,3727069
Severe Storm,Arkansas,2019,June,Buildings and Equipment,11,3725139
Severe Storm,Wisconsin,2010,August,Roads and Bridges,2,3720891
Severe Storm,Hawaii,2018,May,Water Control Facilities,18,3705566
Severe Storm,Florida,2014,May,State Management,43,3698258
Severe Storm,Minnesota,2010,October,Public Utilities,4,3688776
Severe Storm,Maine,2018,May,"Parks, Recreational Facilities, and Other Items",15,3665352
Severe Storm,Tennessee,2021,May,Utilities,7,3654171
Severe Storm,California,2023,January,Buildings and Equipment,11,3650618
Severe Storm,Texas,2019,February,"Parks, Recreational Facilities, and Other Items",12,3645941
Severe Storm,Kentucky,2014,September,Roads and Bridges,3,3644091
Severe Storm,Tennessee,2019,April,Utilities,9,3641257
Severe Storm,Kentucky,2023,April,Management Costs,9,3620217
Severe Storm,Mississippi,2020,March,Debris Removal,8,3617676
Severe Storm,Tennessee,2021,August,Debris Removal,6,3617462
Severe Storm,Minnesota,2022,July,Emergency Protective Measures,6,3611280
Severe Storm,Louisiana,2013,February,Public Utilities,5,3605708
Severe Storm,Oklahoma,2011,May,Roads and Bridges,4,3590435
Severe Storm,Alaska,2011,December,Recreational or Other,12,3584143
Severe Storm,Maryland,2018,June,Roads and Bridges,11,3583063
Severe Storm,Kentucky,2010,July,Roads and Bridges,4,3579422
Severe Storm,California,2010,March,Debris Removal,5,3574368
Severe Storm,South Carolina,2020,May,Emergency Protective Measures,8,3573229
Severe Storm,Alaska,2012,November,Recreational or Other,5,3567801
Severe Storm,Montana,2021,August,Utilities,9,3541004
Severe Storm,Oklahoma,2015,May,Protective Measures,6,3533101
Severe Storm,Illinois,2010,August,Roads and Bridges,3,3528257
Severe Storm,Tennessee,2023,September,Debris Removal,5,3521897
Severe Storm,Arkansas,2019,June,Debris Removal,7,3520527
Severe Storm,New Mexico,2013,October,Debris Removal,8,3486593
Severe Storm,Texas,2016,February,Debris Removal,5,3474169
Severe Storm,Missouri,2015,August,Protective Measures,7,3472444
Severe Storm,Montana,2011,June,Protective Measures,5,3471529
Severe Storm,Kansas,2016,October,Roads and Bridges,3,3460980
Severe Storm,Kentucky,2012,March,Protective Measures,8,3438645
Severe Storm,Florida,2014,May,Protective Measures,11,3412758
Severe Storm,Indiana,2011,June,Public Utilities,4,3400022
Severe Storm,Washington,2016,January,Roads and Bridges,12,3380755
Severe Storm,West Virginia,2021,May,Roads and Bridges,9,3380719
Severe Storm,Tennessee,2023,August,Debris Removal,6,3378078
Severe Storm,Nebraska,2010,July,Recreational or Other,8,3374943
Severe Storm,Kansas,2022,February,Roads and Bridges,9,3352275
Severe Storm,Colorado,2023,August,"Parks, Recreational Facilities, and Other Items",7,3350802
Severe Storm,Florida,2014,May,Recreational or Other,9,3304827
Severe Storm,North Carolina,2011,April,Protective Measures,2,3285302
Severe Storm,Alabama,2016,January,Public Utilities,3,3259927
Severe Storm,Alaska,2021,February,Management Costs,21,3253795
Severe Storm,West Virginia,2015,March,Public Buildings,11,3243335
Severe Storm,Tennessee,2023,April,Debris Removal,8,3234864
Severe Storm,New Jersey,2010,April,Roads and Bridges,4,3232435
Severe Storm,Arkansas,2017,June,Public Utilities,6,3228059
Severe Storm,New York,2019,December,Emergency Protective Measures,14,3214258
Severe Storm,Iowa,2011,August,Public Utilities,5,3191581
Severe Storm,Kentucky,2021,April,Utilities,8,3181388
Severe Storm,Tennessee,2010,September,Roads and Bridges,2,3180924
Severe Storm,Tennessee,2011,March,Roads and Bridges,2,3177955
Severe Storm,New Mexico,2014,October,State Management,2,3160873
Severe Storm,Arkansas,2019,September,Roads and Bridges,7,3155231
Severe Storm,Oklahoma,2015,May,Public Buildings,7,3142584
Severe Storm,Georgia,2023,January,Emergency Protective Measures,6,3140853
Severe Storm,Nebraska,2010,February,Protective Measures,4,3122382
Severe Storm,Mississippi,2010,May,Roads and Bridges,3,3107664
Severe Storm,Arkansas,2011,May,Water Control Facilities,13,3106379
Severe Storm,West Virginia,2012,July,Debris Removal,3,3102414
Severe Storm,Tennessee,2022,January,Buildings and Equipment,10,3099092
Severe Storm,Connecticut,2018,December,Roads and Bridges,18,3098428
Severe Storm,Louisiana,2019,June,Management Costs,14,3083898
Severe Storm,Kentucky,2010,May,Public Utilities,7,3081976
Severe Storm,Vermont,2023,July,Buildings and Equipment,11,3080629
Severe Storm,Minnesota,2022,July,Debris Removal,6,3072541
Severe Storm,Missouri,2015,August,Public Utilities,8,3071165
Severe Storm,Oklahoma,2017,February,Debris Removal,10,3064852
Severe Storm,Oklahoma,2023,July,Debris Removal,8,3064329
Severe Storm,Arizona,2010,October,Protective Measures,8,3064216
Severe Storm,Maryland,2018,July,Emergency Protective Measures,7,3054550
Severe Storm,New Hampshire,2018,January,Utilities,10,3046584
Severe Storm,Mississippi,2020,March,Utilities,5,3042039
Severe Storm,West Virginia,2010,March,Roads and Bridges,4,3038376
Severe Storm,New Mexico,2014,October,Debris Removal,6,3035005
Severe Storm,Minnesota,2013,May,Debris Removal,2,3017803
Severe Storm,California,2019,May,Emergency Protective Measures,7,3013010
Severe Storm,Kentucky,2021,April,Debris Removal,7,3007600
Severe Storm,Montana,2010,July,Protective Measures,10,2984374
Severe Storm,Florida,2012,July,Public Utilities,5,2977712
Severe Storm,Vermont,2020,January,Utilities,11,2973415
Severe Storm,Alabama,2011,April,Recreational or Other,5,2939145
Severe Storm,Massachusetts,2015,April,State Management,2,2927396
Severe Storm,Virginia,2011,November,Roads and Bridges,4,2926805
Severe Storm,Wisconsin,2010,October,Roads and Bridges,3,2921684
Severe Storm,Missouri,2022,August,"Parks, Recreational Facilities, and Other Items",10,2919543
Severe Storm,Oklahoma,2011,May,Protective Measures,3,2917611
Severe Storm,Oregon,2017,January,Debris Removal,3,2914754
Severe Storm,New Hampshire,2012,June,Roads and Bridges,2,2904561
Severe Storm,Missouri,2023,September,Roads and Bridges,8,2904258
Severe Storm,Missouri,2013,July,Roads and Bridges,6,2900006
Severe Storm,Washington,2020,April,"Parks, Recreational Facilities, and Other Items",27,2896314
Severe Storm,Illinois,2019,September,"Parks, Recreational Facilities, and Other Items",10,2843313
Severe Storm,Iowa,2018,August,Water Control Facilities,12,2823432
Severe Storm,Alabama,2020,July,Roads and Bridges,8,2820343
Severe Storm,Mississippi,2020,April,Emergency Protective Measures,6,2812674
Severe Storm,Minnesota,2012,July,Debris Removal,3,2804078
Severe Storm,California,2019,May,Water Control Facilities,10,2798324
Severe Storm,Kentucky,2019,April,Utilities,8,2797860
Severe Storm,North Dakota,2022,July,Emergency Protective Measures,5,2795722
Severe Storm,Oklahoma,2017,May,State Management,4,2793741
Severe Storm,Iowa,2010,February,Public Utilities,6,2789773
Severe Storm,Illinois,2019,September,Emergency Work Donated Resources,9,2782570
Severe Storm,Tennessee,2021,May,Buildings and Equipment,12,2780893
Severe Storm,Maine,2013,March,Protective Measures,2,2780763
Severe Storm,Florida,2024,June,Management Costs,1,2774118
Severe Storm,Georgia,2023,January,Management Costs,9,2758489
Severe Storm,New Jersey,2011,September,Roads and Bridges,5,2747301
Severe Storm,New York,2010,April,State Management,52,2747201
Severe Storm,Iowa,2010,February,Protective Measures,3,2744743
Severe Storm,Kansas,2012,May,Public Utilities,2,2729395
Severe Storm,Arizona,2010,March,Protective Measures,14,2727869
Severe Storm,Montana,2022,June,Emergency Protective Measures,6,2718775
Severe Storm,Arkansas,2017,June,Recreational or Other,7,2712982
Severe Storm,Texas,2015,November,Protective Measures,9,2707512
Severe Storm,Nevada,2017,February,Water Control Facilities,10,2707478
Severe Storm,Minnesota,2010,October,Protective Measures,4,2706836
Severe Storm,Nebraska,2017,June,Public Utilities,7,2697493
Severe Storm,California,2010,March,Roads and Bridges,9,2689508
Severe Storm,California,2023,January,"Parks, Recreational Facilities, and Other Items",12,2688952
Severe Storm,Florida,2023,April,Management Costs,7,2668893
Severe Storm,New York,2011,February,Recreational or Other,14,2667801
Severe Storm,Massachusetts,2018,June,Roads and Bridges,15,2667046
Severe Storm,Maryland,2018,July,"Parks, Recreational Facilities, and Other Items",10,2659511
Severe Storm,Iowa,2017,August,Roads and Bridges,8,2658955
Severe Storm,Alabama,2011,April,Roads and Bridges,5,2653545
Severe Storm,Oregon,2011,February,Roads and Bridges,2,2639961
Severe Storm,Iowa,2014,August,Debris Removal,5,2633797
Severe Storm,Missouri,2019,July,"Parks, Recreational Facilities, and Other Items",13,2628194
Severe Storm,Oklahoma,2010,May,Public Utilities,3,2626996
Severe Storm,District of Columbia,2012,July,Debris Removal,4,2622283
Severe Storm,South Dakota,2022,June,Debris Removal,6,2617311
Severe Storm,New Hampshire,2019,August,Roads and Bridges,17,2615051
Severe Storm,Kansas,2019,February,Roads and Bridges,12,2611575
Severe Storm,Virginia,2012,July,Protective Measures,3,2605908
Severe Storm,Louisiana,2021,June,Buildings and Equipment,14,2599526
Severe Storm,Nebraska,2022,July,Utilities,6,2598367
Severe Storm,Oregon,2016,February,Protective Measures,6,2593369
Severe Storm,Massachusetts,2018,June,Section 324 Management Costs,6,2587342
Severe Storm,Oklahoma,2019,June,Debris Removal,9,2573743
Severe Storm,Wyoming,2011,July,Roads and Bridges,3,2567404
Severe Storm,Michigan,2021,July,Management Costs,18,2565784
Severe Storm,Texas,2016,February,Protective Measures,7,2549132
Severe Storm,Vermont,2018,January,Utilities,6,2547012
Severe Storm,North Dakota,2010,April,Debris Removal,1,2541454
Severe Storm,Nebraska,2010,February,Public Utilities,5,2521667
Severe Storm,North Dakota,2022,July,Management Costs,11,2510775
Severe Storm,Iowa,2011,August,Roads and Bridges,7,2498307
Severe Storm,California,2023,April,Water Control Facilities,10,2469892
Severe Storm,Nebraska,2014,July,Roads and Bridges,3,2464804
Severe Storm,New Jersey,2011,September,Water Control Facilities,12,2453951
Severe Storm,Iowa,2013,July,Debris Removal,5,2449045
Severe Storm,Oklahoma,2016,February,Water Control Facilities,23,2442182
Severe Storm,Tennessee,2021,August,Utilities,8,2428097
Severe Storm,Iowa,2010,July,State Management,16,2423965
Severe Storm,Michigan,2020,July,Management Costs,11,2420959
Severe Storm,Texas,2019,February,Debris Removal,12,2419521
Severe Storm,Arizona,2010,October,Public Utilities,10,2387405
Severe Storm,Missouri,2019,July,Buildings and Equipment,12,2383434
Severe Storm,Vermont,2015,February,Public Utilities,3,2367944
Severe Storm,Oklahoma,2013,April,Roads and Bridges,5,2367753
Severe Storm,Mississippi,2010,April,Public Utilities,3,2351128
Severe Storm,Mississippi,2013,February,Debris Removal,1,2350499
Severe Storm,Mississippi,2010,May,Public Utilities,4,2349546
Severe Storm,Kentucky,2016,August,Roads and Bridges,5,2349348
Severe Storm,Wisconsin,2010,August,Public Buildings,5,2348968
Severe Storm,Alabama,2021,April,Buildings and Equipment,20,2340045
Severe Storm,Arizona,2010,March,Roads and Bridges,13,2330175
Severe Storm,New Mexico,2013,September,Roads and Bridges,8,2326019
Severe Storm,Missouri,2022,August,Roads and Bridges,9,2317713
Severe Storm,South Dakota,2022,June,Buildings and Equipment,9,2302099
Severe Storm,Nebraska,2011,August,Public Utilities,4,2300038
Severe Storm,Missouri,2010,August,Protective Measures,3,2298990
Severe Storm,Massachusetts,2018,June,Utilities,13,2288742
Severe Storm,Tennessee,2011,May,Public Buildings,5,2275750
Severe Storm,Montana,2010,July,Public Buildings,7,2249251
Severe Storm,Kentucky,2015,August,Public Utilities,12,2245850
Severe Storm,Nevada,2017,February,Protective Measures,8,2228602
Severe Storm,New York,2023,July,"Parks, Recreational Facilities, and Other Items",9,2226780
Severe Storm,Georgia,2021,May,Emergency Protective Measures,9,2226217
Severe Storm,New York,2010,April,Public Buildings,6,2225391
Severe Storm,Kentucky,2021,April,Buildings and Equipment,9,2218290
Severe Storm,Maine,2023,March,Roads and Bridges,10,2211087
Severe Storm,Texas,2013,December,Roads and Bridges,5,2199489
Severe Storm,Oklahoma,2019,July,Roads and Bridges,10,2196277
Severe Storm,Iowa,2014,August,Protective Measures,6,2193264
Severe Storm,New Jersey,2012,July,Public Utilities,2,2192673
Severe Storm,Tennessee,2019,April,Management Costs,13,2188624
Severe Storm,Maine,2018,January,Roads and Bridges,9,2186596
Severe Storm,Minnesota,2011,July,Debris Removal,6,2175971
Severe Storm,Iowa,2014,July,Public Utilities,3,2175888
Severe Storm,Missouri,2010,August,Public Utilities,3,2170911
Severe Storm,Maine,2010,March,Debris Removal,2,2167870
Severe Storm,Connecticut,2010,April,Debris Removal,4,2167335
Severe Storm,Minnesota,2012,July,Protective Measures,3,2163731
Severe Storm,Louisiana,2019,June,Utilities,16,2159102
Severe Storm,Louisiana,2021,March,Debris Removal,14,2158991
