incident_type,state_name,incident_year,month,damageCategory,avg_month,total_amount
Tropical Storm,Georgia,2021,January,Emergency Protective Measures,5,827907
Tropical Storm,Mississippi,2017,November,Emergency Protective Measures,7,804077
Tropical Storm,Guam,2018,October,Debris Removal,4,803973
Tropical Storm,New Jersey,2020,December,Roads and Bridges,12,800567
Tropical Storm,Louisiana,2017,October,Roads and Bridges,9,800498
Tropical Storm,Louisiana,2017,October,Direct Administrative Costs,9,759101
Tropical Storm,Connecticut,2021,January,Buildings and Equipment,10,745171
Tropical Storm,Guam,2018,October,Management Costs,12,713808
Tropical Storm,North Carolina,2019,January,Management Costs,9,669514
Tropical Storm,North Carolina,2019,January,Emergency Protective Measures,8,631647
Tropical Storm,North Carolina,2021,March,Debris Removal,7,629093
Tropical Storm,New Jersey,2021,September,Emergency Work Donated Resources,11,539225
Tropical Storm,Louisiana,2017,October,Water Control Facilities,10,500199
Tropical Storm,New York,2021,October,Water Control Facilities,14,482818
Tropical Storm,North Carolina,2019,January,Water Control Facilities,10,411253
Tropical Storm,New York,2020,October,"Parks, Recreational Facilities, and Other Items",14,409189
Tropical Storm,Florida,2017,October,Emergency Protective Measures,9,408678
Tropical Storm,Connecticut,2021,January,"Parks, Recreational Facilities, and Other Items",9,369533
Tropical Storm,North Carolina,2021,March,"Parks, Recreational Facilities, and Other Items",8,290705
Tropical Storm,Louisiana,2020,June,Emergency Protective Measures,4,288532
Tropical Storm,Mississippi,2017,November,Buildings and Equipment,10,277600
Tropical Storm,North Carolina,2021,March,Emergency Protective Measures,5,265261
Tropical Storm,Mississippi,2017,November,Roads and Bridges,13,234302
Tropical Storm,New Jersey,2020,December,Emergency Work Donated Resources,12,228913
Tropical Storm,Louisiana,2017,October,Buildings and Equipment,8,218763
Tropical Storm,Connecticut,2021,August,Emergency Protective Measures,11,215922
Tropical Storm,Louisiana,2020,September,Management Costs,12,213685
Tropical Storm,Guam,2018,October,Direct Administrative Costs,9,212980
Tropical Storm,Georgia,2021,January,Roads and Bridges,6,185095
Tropical Storm,Connecticut,2021,January,Emergency Work Donated Resources,10,182163
Tropical Storm,Guam,2018,October,"Parks, Recreational Facilities, and Other Items",7,176563
Tropical Storm,Florida,2021,July,Management Costs,10,165427
Tropical Storm,Louisiana,2017,October,Debris Removal,7,140151
Tropical Storm,Louisiana,2017,October,"Parks, Recreational Facilities, and Other Items",8,131671
Tropical Storm,Texas,2020,December,Roads and Bridges,13,127796
Tropical Storm,North Carolina,2019,January,Buildings and Equipment,8,127094
Tropical Storm,Connecticut,2021,January,Roads and Bridges,11,126491
Tropical Storm,Texas,2020,July,Management Costs,12,122803
Tropical Storm,Mississippi,2017,November,Water Control Facilities,14,90031
Tropical Storm,Louisiana,2021,September,Emergency Protective Measures,14,80382
Tropical Storm,New York,2020,October,Emergency Work Donated Resources,20,68764
Tropical Storm,Georgia,2021,January,"Parks, Recreational Facilities, and Other Items",5,58360
Tropical Storm,North Carolina,2021,March,Water Control Facilities,13,54184
Tropical Storm,Florida,2017,October,Section 324 Management Costs,18,37327
Tropical Storm,Louisiana,2020,June,Management Costs,9,33659
Tropical Storm,Mississippi,2020,December,Emergency Work Donated Resources,8,29530
Tropical Storm,North Carolina,2021,March,Buildings and Equipment,9,28939
Tropical Storm,Louisiana,2017,October,Emergency Work Donated Resources,8,23409
Tropical Storm,Texas,2020,August,Emergency Work Donated Resources,16,21478
Tropical Storm,New York,2021,September,Emergency Work Donated Resources,17,13756
Tropical Storm,Texas,2020,December,Emergency Work Donated Resources,23,11966
Tropical Storm,Florida,2021,August,Emergency Protective Measures,8,9708
Tropical Storm,Connecticut,2021,January,Water Control Facilities,10,5922
Tropical Storm,Florida,2021,July,Emergency Work Donated Resources,11,5280
Tropical Storm,New York,2021,October,Emergency Work Donated Resources,13,3094
Tropical Storm,Florida,2021,August,Management Costs,9,870
Tropical Storm,Florida,2017,October,Direct Administrative Costs,9,804
Tropical Storm,Connecticut,2021,August,Management Costs,20,670
Tropical Storm,Georgia,2021,January,Emergency Work Donated Resources,7,536
